Cod_comuna_x;NOM_COMUNA;Cod_barrio;NOM_BARRIO;Grupo;BARRIO_AT;personas
4;04. OCCIDENTAL;77;GAITAN;C;SI;1532
4;04. OCCIDENTAL;77;GAITAN;D;SI;215
4;04. OCCIDENTAL;78;GRANADA;A;SI;57
4;04. OCCIDENTAL;78;GRANADA;B;SI;252
4;04. OCCIDENTAL;78;GRANADA;C;SI;355
4;04. OCCIDENTAL;78;GRANADA;D;SI;63
4;04. OCCIDENTAL;79;LA FERIA;A;SI;148
4;04. OCCIDENTAL;79;LA FERIA;B;SI;269
4;04. OCCIDENTAL;79;LA FERIA;C;SI;210
4;04. OCCIDENTAL;79;LA FERIA;D;SI;31
4;04. OCCIDENTAL;80;NAPOLES;A;SI;199
4;04. OCCIDENTAL;80;NAPOLES;B;SI;372
4;04. OCCIDENTAL;80;NAPOLES;C;SI;288
4;04. OCCIDENTAL;80;NAPOLES;D;SI;44
4;04. OCCIDENTAL;82;GIRARDOT;A;SI;668
4;04. OCCIDENTAL;82;GIRARDOT;B;SI;2029
4;04. OCCIDENTAL;82;GIRARDOT;C;SI;2128
4;04. OCCIDENTAL;82;GIRARDOT;D;SI;365
4;04. OCCIDENTAL;83;ZARABANDA;A;SI;149
4;04. OCCIDENTAL;83;ZARABANDA;B;SI;208
4;04. OCCIDENTAL;83;ZARABANDA;C;SI;138
4;04. OCCIDENTAL;83;ZARABANDA;D;SI;2
4;04. OCCIDENTAL;84;CUYANITA;A;NO;244
4;04. OCCIDENTAL;84;CUYANITA;B;NO;312
4;04. OCCIDENTAL;84;CUYANITA;C;NO;160
4;04. OCCIDENTAL;84;CUYANITA;D;NO;8
4;04. OCCIDENTAL;85;CAMILO TORRES;A;SI;169
4;04. OCCIDENTAL;85;CAMILO TORRES;B;SI;309
4;04. OCCIDENTAL;85;CAMILO TORRES;C;SI;187
4;04. OCCIDENTAL;85;CAMILO TORRES;D;SI;12
4;04. OCCIDENTAL;86;SANTANDER;A;SI;111
4;04. OCCIDENTAL;86;SANTANDER;B;SI;617
4;04. OCCIDENTAL;86;SANTANDER;C;SI;1016
4;04. OCCIDENTAL;86;SANTANDER;D;SI;255
4;04. OCCIDENTAL;87;DON BOSCO;A;SI;111
4;04. OCCIDENTAL;87;DON BOSCO;B;SI;350
4;04. OCCIDENTAL;87;DON BOSCO;C;SI;455
4;04. OCCIDENTAL;87;DON BOSCO;D;SI;69
4;04. OCCIDENTAL;89;NAPOLES CURTIEMBRE;A;NO;113
4;04. OCCIDENTAL;89;NAPOLES CURTIEMBRE;B;NO;219
4;04. OCCIDENTAL;89;NAPOLES CURTIEMBRE;C;NO;77
4;04. OCCIDENTAL;89;NAPOLES CURTIEMBRE;D;NO;23
4;04. OCCIDENTAL;90;LA GLORIA;A;SI;127
4;04. OCCIDENTAL;90;LA GLORIA;B;SI;428
4;04. OCCIDENTAL;90;LA GLORIA;C;SI;306
4;04. OCCIDENTAL;90;LA GLORIA;D;SI;27
4;04. OCCIDENTAL;92;NARIÑO;A;SI;330
4;04. OCCIDENTAL;92;NARIÑO;B;SI;900
4;04. OCCIDENTAL;92;NARIÑO;C;SI;620
4;04. OCCIDENTAL;92;NARIÑO;D;SI;47
4;04. OCCIDENTAL;93;PIO XII;A;SI;29
4;04. OCCIDENTAL;93;PIO XII;B;SI;108
4;04. OCCIDENTAL;93;PIO XII;C;SI;127
4;04. OCCIDENTAL;93;PIO XII;D;SI;35
4;04. OCCIDENTAL;278;12 DE OCTUBRE;A;SI;152
4;04. OCCIDENTAL;278;12 DE OCTUBRE;B;SI;579
